"Göstərici",1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Xərclər-cəmi  (mln. ABŞ dollar)",484.9,560.9,738.3,682.8,791.0,853.8,867.1,958.4,1256.9,1528.6,2263.1,4242.3,7092.6,13113.7,13069.4,14659.7,19497.9,22169.7,24402.2,23851.4,17332.1,11123.1,10222.8,13371.5,14368.2
"İqtisadiyyata  (mln. ABŞ dollar)",59.5,91.5,106.1,70.0,80.5,99.9,110.0,140.9,247.3,296.0,470.1,1395.7,2738.6,6035.3,5442.2,6092.5,8614.9,8860.4,10462.1,9687.3,6245.8,2584.1,2553.2,4601.6,4683.2
"Təhsil  (mln. ABŞ dollar)",85.1,118.5,141.4,150.3,193.1,203.2,200.0,196.7,239.0,299.3,393.8,536.3,842.6,1192.4,1428.3,1471.2,1606.3,1849.8,1832.6,1981.0,1564.3,1099.3,1012.6,1156.8,1291.6
"Səhiyyə  (mln. ABŞ dollar)",33.6,46.7,48.7,40.2,45.2,45.8,45.1,46.1,56.3,74.8,121.9,181.3,299.7,421.4,500.7,534.8,624.8,775.7,788.9,848.2,690.2,440.2,409.4,417.6,513.9
"Elmə  (mln. ABŞ dollar)",4.4,5.6,9.0,8.1,9.6,10.4,10.1,11.7,16.9,20.4,30.4,35.8,51.2,75.6,103.6,115.6,134.4,148.6,149.1,158.3,110.3,69.0,63.8,69.3,71.9
"Qanunvericilik və icra hakimiyyəti, yerli idarəetmə orqanlarının saxlanılmasına  (mln. ABŞ dollar)",19.9,25.2,34.9,36.0,43.3,41.4,51.8,56.1,70.0,90.8,131.0,159.8,231.7,307.2,360.5,377.5,357.0,435.7,445.3,573.3,419.9,294.6,320.8,369.0,455.6
"Profisit,kəsir  (mln. ABŞ dollar)",126.2,92.3,94.9,81.2,111.6,55.1,24.4,22.1,13.9,7.4,90.4,88.1,92.7,14.0,221.4,452.2,383.9,171.8,449.7,449.7,279.2,153.2,626.2,131.0,16.1
"Mədəniyyət, incəsənət, informasiya, bədən tərbiyəsi və digər kateqotiyalara aid edilməyən sahədə fəaliyyət  (mln. ABŞ dollar)",11.1,14.9,19.7,20.5,21.6,23.0,23.6,24.0,31.6,38.9,53.5,75.1,111.1,170.6,197.0,209.8,240.5,306.5,350.4,374.8,265.4,430.7,147.2,176.2,197.5
"Sosial müdafiyəyə və təminat  (mln. ABŞ dollar)",41.3,82.2,131.4,158.9,146.6,155.7,156.9,195.7,217.9,240.6,322.3,382.2,693.2,1030.2,1311.9,1399.2,1893.6,2252.4,2231.1,2513.0,1810.0,1657.5,1365.5,1265.1,1341.8
"Məhkəmə hakimiyyəti,hüquq-mühafizə və prokurorluq  (mln. ABŞ dollar)",46.0,49.1,64.1,74.6,83.6,83.2,91.8,97.3,122.7,158.7,218.2,312.0,502.4,649.8,807.4,832.9,899.5,1182.8,1337.5,1406.9,1077.6,700.0,684.2,774.4,885.4
"Dövlətin xarici borclarının ödənilməsinə  (mln. ABŞ dollar)",69.2,10.2,57.6,1.5,17.4,20.1,16.4,10.4,12.9,13.9,16.8,28.1,61.6,118.1,166.6,105.8,283.1,236.8,786.9,458.1,616.5,922.7,852.4,1254.3,795.4
"Dövlətin daxili borclarının ödənilməsinə  (mln. ABŞ dollar)",36.5,19.3,3.9,2.8,12.3,18.2,25.6,22.2,7.9,3.6,10.1,85.2,9.0,18.9,22.9,8.6,152.2,33.7,141.4,25.0,70.0,185.9,27.1,60.7,101.5
"Sair xərclər  (mln. ABŞ dollar)",78.3,97.7,121.5,119.9,137.8,152.9,135.8,157.3,234.3,291.6,495.0,1050.8,1551.5,3094.2,2728.3,3511.8,4691.8,6087.3,5876.9,5825.5,4462.1,2739.1,2786.6,3226.5,4030.4
